"series",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",84,72,66,105,95,146,130,82,161,140,115,94,116,109,123,114,95,46,107,119,147
"Cleared",58,40,46,72,79,112,103,65,113,122,85,75,87,84,81,97,77,34,77,75,86
