"series",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Reported",39,40,33,59,46,47,33,33,30,47,31,44,31,23,30,44,29,26,24,31
"Cleared",21,19,28,46,45,33,30,30,22,35,22,32,23,16,22,22,18,14,11,9
